formula,raw_match,relaxed_match
Ag8GeS6,False,False
Al2O3,True,True
BN,True,True
Ba(FeAs)2,True,True
Ba2CaSi4(BO7)2,False,False
Bi2Te3,True,True
C,False,False
Ca14MnSb11,False,False
CaCO3,False,False
Cd3As2,False,False
CoSb3,True,True
CsPbI3,False,False
Cu12Sb4S13,False,False
Fe3O4,True,True
GaAs,True,True
GeH4,False,False
La2CuO4,False,False
Li3PS4,False,False
Li4Ti5O12,False,False
LiBF4,False,False
LiCoO2,False,False
LiFePO4,True,True
LiPF6,True,True
MgB7,False,False
Mn(FeO2)2,False,False
NaCaAlPHO5F2,False,False
Nd2Fe14B,False,True
Si,False,False
Si3N4,True,True
SiO2,False,False
SrTiO3,False,False
TiO2,False,False
V2O5,False,False
VO2,True,True
Y2Co17,False,True
Y3Al5O12,False,False
ZnO,True,True
ZnSb,False,False
ZrO2,True,True
ZrTe5,False,False
