formula,struct_match,spg_match,gt_spg,pred_spg,relaxed_ehull,status
Be17Ru3,False,False,204,216.0,,success
K5Ag2(AsSe3)3,False,False,62,2.0,,success
V5S4,False,False,87,10.0,,success
Cu3P8(S2Cl)3,False,False,62,14.0,,success
Na(WO3)9,False,False,148,83.0,,success
LiSm2IrO6,False,False,14,62.0,,success
LaAl3Au,False,False,107,,,parse_error
ErCdRh2,False,False,225,123.0,,success
CsCl,False,False,225,221.0,,success
Sr(ClO3)2,False,False,43,14.0,,success
K2ZrSi2O7,False,False,14,175.0,,success
Sm6Ni20As13,False,False,174,,,parse_error
LaSiIr,False,False,198,,,parse_error
ReBi3O8,False,False,198,2.0,,success
Pr2ZnPtO6,False,False,14,35.0,,success
Li6V3P8O29,False,False,1,,,parse_error
Sn(TePd3)2,False,False,107,47.0,,success
Ba3Ta2NiO9,False,False,164,191.0,,success
Eu(CuSb)2,False,False,129,,,parse_error
U2SbN2,False,False,139,129.0,,success
MnAl,True,True,123,123.0,,success
SmZnPd,False,False,189,191.0,,success
Eu(Al2Cu)4,False,True,139,139.0,,success
YbP5,False,False,11,123.0,,success
Gd(SiOs)2,False,False,139,,,parse_error
Rb2TlAgCl6,False,False,225,216.0,,success
HoHSe,False,False,187,,,parse_error
Mg3Si2H4O9,False,False,185,14.0,,success
CeCu5Sn,False,True,62,62.0,,success
Cs3InF6,False,True,225,225.0,,success
Eu2MgTl,False,False,225,123.0,,success
DyPO4,False,False,141,139.0,,success
Pm2NiIr,False,False,225,123.0,,success
BaCaGaF7,False,False,13,33.0,,success
LiZr2(PO4)3,False,False,14,1.0,,success
MnGa(CuSe2)2,False,True,82,82.0,,success
Tm11Sn10,False,False,139,86.0,,success
Al2CoO4,False,False,156,1.0,,success
K2Ni3S4,False,False,70,,,parse_error
AlH12(ClO2)3,False,False,167,14.0,,success
Zr4O,False,False,148,65.0,,success
Y4Si5Ir9,False,False,194,1.0,,success
Sc2Mn12P7,False,False,174,147.0,,success
LiP(HO2)2,False,False,33,14.0,,success
Na5FeP2(O4F)2,False,True,61,61.0,,success
VPt3,False,False,139,221.0,,success
SmVO4,False,False,141,12.0,,success
VCl5,False,False,2,14.0,,success
LaSi2Ni9,False,False,141,,,parse_error
Ca3Ni7B2,False,False,166,25.0,,success
